,name,artist,spotify_id,release_date,genres
114,Royals,Lorde,2dLLR6qlu5UJ5gk0dKz0h3,2013-09-27,[]
115,I Knew You Were Trouble,Taylor Swift,6FB3v4YcR57y4tXFcdxI1E,2012-10-22,[]
116,We Can't Stop,Miley Cyrus,2y4lAQpi5VTNLu2ldeTdUH,2013-10-04,[]
117,Wrecking Ball,Miley Cyrus,2vwlzO0Qp8kfEtzTsCXfyE,2013-10-04,[]
118,Wake Me Up,Avicii,0nrRP2bk19rLc0orkWPQk2,2013-01-01,['edm']
119,Suit & Tie,Justin Timberlake,6vt0I1cw1YmAIKDJvHVIM5,2013-03-15,[]
120,Cups (Pitch Perfect's When I'm Gone),Anna Kendrick,2sCl0FFOzZSmYZs90zOpd1,2013-01-01,"[""children's music""]"
121,Holy Grail,Jay-Z,1q9bLSeIlGf2xBvbOkp2Wr,2013-07-04,"['hip hop', 'east coast hip hop', 'rap']"
122,Scream & Shout,will.i.am,2iJuuzV8P9Yz0VSurttIV5,2013-01-01,[]
123,Clarity,Zedd,60wwxj6Dd9NJlirf84wr2c,2012-01-01,['edm']
124,Sail,Awolnation,7ueP5u2qkdZbIPN2YA6LR0,2011-03-15,[]
125,Don't You Worry Child,Swedish House Mafia,2V65y3PX4DkRhy1djlxd9p,2012-09-14,['edm']
126,Diamonds,Rihanna,7i0jaBLpIADxqNbhAb4XFb,2012-12-10,[]
127,I Love It,Icona Pop,6HZ9VeI5IRFCNQLXhpF4bq,2013-08-27,[]
128,Safe and Sound,Capital Cities,5JVbvCHX10U2pLa5DEqGav,2013-06-04,[]
129,Treasure,Bruno Mars,55h7vJchibLdUkxdlX3fK7,2012-12-07,[]
130,The Way,Ariana Grande,0S4RKPbRDA72tvKwVdXQqe,2013-01-01,['pop']
131,Started from the Bottom,Drake,3dgQqOiQ9fCKVhNOedd2lf,2013-01-01,['rap']
132,Come & Get It,Selena Gomez,6LoQHIo74tOzQ8EsLEkhgF,2013-01-01,['pop']
133,"Hold On, We're Going Home",Drake,6jdOi5U5LBzQrc4c1VT983,2013-01-01,['rap']
134,Daylight,Maroon 5,1NNAI51EuoRWw1ydX1zV7S,2012-01-01,['pop']
135,Feel This Moment,Pitbull,0Hf4aIJpsN4Os2f0y0VqWl,2012,[]
136,Applause,Lady Gaga,5ka2ajep9OAvU5Sgduhiex,2013-11-11,"['art pop', 'pop']"
137,One More Night,Maroon 5,6cpk00i5TxCqSeqNi2HuIe,2012-01-01,['pop']
138,Love Me,Lil Wayne,2XHzzp1j4IfTNp1FTn7YFg,2013-01-01,"['rap', 'hip hop']"
139,My Songs Know What You Did in the Dark (Light Em Up),Fall Out Boy,2E43WFS4rRc09za2r2GmZl,2013-04-12,"['emo', 'pop punk', 'emo pop']"
140,Fuckin' Problems,ASAP Rocky,4X5f3vT8MRuXF68pfjNte5,2013,['rap']
141,Beauty and a Beat,Justin Bieber,6QFCMUUq1T2Vf5sFUXcuQ7,2012-01-01,[]
142,Same Love,Macklemore & Ryan Lewis,01uqI4H13Gsd8Lyl1EYd8H,2012-10-09,[]
143,Sweet Nothing,Calvin Harris,24LS4lQShWyixJ0ZrJXfJ5,2012-10-29,['edm']
144,Summertime Sadness,Lana Del Rey,3BJe4B8zGnqEdQPMvfVjuS,2012-01-01,[]
145,Home,Phillip Phillips,1EAgPzRbK9YmdOESSMUm6P,2012-01-01,['folk pop']
146,It's Time,Imagine Dragons,7MXlTgQeo3IVlMpLnZuhxc,2012-09-04,[]
147,Power Trip,J. Cole,2uwnP6tZVVmTovzX5ELooy,2013-06-18,['rap']
