rdsg_name,rdsg_artist,rdsg_spotify_id,rdsg_release_date,rdsg_genres,Audio Feature,Length,Tempo,Loudness,Key,Camelot,Explicit,Popularity,Happiness,Danceability,Energy,Acousticness,Instrumentalness,Liveness,Speechiness
Telepatía,Kali Uchis,6tDDoYIxWvMLTdKpjFkc1B,2020-12-04,[],"Length: 2:40  Tempo: 84 bpm  Loudness: -9 db 
Key: B Minor Camelot: 10A Explicit: Yes
Popularity: 86/100

Happiness: 55/100

Danceability: 65/100

Energy: 52/100

Acousticness: 11/100

Instrumentalness: 0/100

Liveness: 20/100

Speechiness: 5/100",2:40,84,-9,B Minor,10A,Yes,86,55,65,52,11,0,20,5
Willow,Taylor Swift,0lx2cLdOt3piJbcaXIV74f,2020-12-11,[],"Length: 3:34  Tempo: 81 bpm  Loudness: -9 db 
Key: G Major Camelot: 9B Explicit: Yes
Popularity: 77/100

Happiness: 53/100

Danceability: 39/100

Energy: 57/100

Acousticness: 83/100

Instrumentalness: 0/100

Liveness: 14/100

Speechiness: 17/100",3:34,81,-9,G Major,9B,Yes,77,53,39,57,83,0,14,17
You're Mines Still,Yung Bleu,6tiKwZppNjrls8RsPQwK6r,2021-07-23,[],"Length: 3:46  Tempo: 87 bpm  Loudness: -5 db 
Key: F Minor Camelot: 4A Explicit: Yes
Popularity: 69/100

Happiness: 34/100

Danceability: 61/100

Energy: 62/100

Acousticness: 31/100

Instrumentalness: 0/100

Liveness: 11/100

Speechiness: 11/100",3:46,87,-5,F Minor,4A,Yes,69,34,61,62,31,0,11,11
Lonely,Justin Bieber & Benny Blanco,3S8jK1mGzQi24ilFb45DAZ,2021-03-19,[],"Length: 2:29  Tempo: 79 bpm  Loudness: -7 db 
Key: B Minor Camelot: 10A Explicit: Yes
Popularity: 74/100

Happiness: 7/100

Danceability: 62/100

Energy: 24/100

Acousticness: 90/100

Instrumentalness: 0/100

Liveness: 12/100

Speechiness: 5/100",2:29,79,-7,B Minor,10A,Yes,74,7,62,24,90,0,12,5
ABCDEFU,Gayle,4fouWK6XVHhzl78KzQ1UjL,2021-08-13,[],"Length: 2:48  Tempo: 122 bpm  Loudness: -6 db 
Key: E Major Camelot: 12B Explicit: Yes
Popularity: 77/100

Happiness: 42/100

Danceability: 70/100

Energy: 54/100

Acousticness: 30/100

Instrumentalness: 0/100

Liveness: 37/100

Speechiness: 5/100",2:48,122,-6,E Major,12B,Yes,77,42,70,54,30,0,37,5
We Don't Talk About Bruno,Carolina Gaitán & Adassa & Rhenzy Feliz & Dian...,52xJxFP6TqMuO4Yt0eOkMz,2021-11-19,[],"Length: 3:36  Tempo: 206 bpm  Loudness: -9 db 
Key: C Minor Camelot: 5A Explicit: Yes
Popularity: 75/100

Happiness: 83/100

Danceability: 58/100

Energy: 45/100

Acousticness: 36/100

Instrumentalness: 0/100

Liveness: 11/100

Speechiness: 8/100",3:36,206,-9,C Minor,5A,Yes,75,83,58,45,36,0,11,8
Hrs and Hrs,Muni Long,3ncmoWTwJgx63LwMTyBCXf,2022-09-23,[],"Length: 3:24  Tempo: 137 bpm  Loudness: -5 db 
Key: G#/A♭ Minor Camelot: 1A Explicit: Yes
Popularity: 76/100

Happiness: 63/100

Danceability: 52/100

Energy: 55/100

Acousticness: 58/100

Instrumentalness: 0/100

Liveness: 11/100

Speechiness: 21/100",3:24,137,-5,G#/A♭ Minor,1A,Yes,76,63,52,55,58,0,11,21
She's All I Wanna Be,Tate McRae,7l9IqDtVWJurTvkQHq1BGh,2022-05-27,[],"Length: 3:27  Tempo: 160 bpm  Loudness: -5 db 
Key: D Minor Camelot: 7A Explicit: Yes
Popularity: 84/100

Happiness: 62/100

Danceability: 60/100

Energy: 63/100

Acousticness: 1/100

Instrumentalness: 0/100

Liveness: 14/100

Speechiness: 4/100",3:27,160,-5,D Minor,7A,Yes,84,62,60,63,1,0,14,4
Unholy,Sam Smith & Kim Petras,3nqQXoyQOWXiESFLlDF1hG,2022-09-22,['soft pop'],"Length: 2:36  Tempo: 131 bpm  Loudness: -7 db 
Key: D Major Camelot: 10B Explicit: Yes
Popularity: 80/100

Happiness: 24/100

Danceability: 71/100

Energy: 47/100

Acousticness: 1/100

Instrumentalness: 0/100

Liveness: 27/100

Speechiness: 9/100",2:36,131,-7,D Major,10B,Yes,80,24,71,47,1,0,27,9
Calm Down,Rema & Selena Gomez,0WtM2NBVQNNJLh6scP13H8,2022-08-25,"['afrobeats', 'afrobeat', 'afropop', 'afropiano']","Length: 3:59  Tempo: 107 bpm  Loudness: -5 db 
Key: B Major Camelot: 1B Explicit: Yes
Popularity: 84/100

Happiness: 80/100

Danceability: 80/100

Energy: 81/100

Acousticness: 38/100

Instrumentalness: 0/100

Liveness: 11/100

Speechiness: 4/100",3:59,107,-5,B Major,1B,Yes,84,80,80,81,38,0,11,4
Die for You,The Weeknd & Ariana Grande,4W4fNrZYkobj539TOWsLO2,2023-03-14,[],"Length: 4:20  Tempo: 133 bpm  Loudness: -7 db 
Key: C♯/D♭ Minor Camelot: 12A Explicit: Yes
Popularity: 83/100

Happiness: 51/100

Danceability: 58/100

Energy: 53/100

Acousticness: 11/100

Instrumentalness: 0/100

Liveness: 13/100

Speechiness: 6/100",4:20,133,-7,C♯/D♭ Minor,12A,Yes,83,51,58,53,11,0,13,6
Under the Influence,Chris Brown,5IgjP7X4th6nMNDh4akUHb,2019-10-04,['r&b'],"Length: 3:04  Tempo: 117 bpm  Loudness: -6 db 
Key: A Minor Camelot: 8A Explicit: Yes
Popularity: 87/100

Happiness: 31/100

Danceability: 73/100

Energy: 69/100

Acousticness: 6/100

Instrumentalness: 0/100

Liveness: 11/100

Speechiness: 4/100",3:04,117,-6,A Minor,8A,Yes,87,31,73,69,6,0,11,4
Golden Hour,Jvke,4yNk9iz9WVJikRFle3XEvn,2022-10-03,[],"Length: 3:29  Tempo: 94 bpm  Loudness: -5 db 
Key: E Major Camelot: 12B Explicit: Yes
Popularity: 80/100

Happiness: 15/100

Danceability: 52/100

Energy: 59/100

Acousticness: 65/100

Instrumentalness: 16/100

Liveness: 25/100

Speechiness: 3/100",3:29,94,-5,E Major,12B,Yes,80,15,52,59,65,16,25,3
