,billboard_year,rank,name,artist,featuring,target
472,2016,73,Hymn for the Weekend,Coldplay,,1
473,2016,74,Say It,Tory Lanez,,1
474,2016,75,Antidote,Travis Scott,,1
475,2016,76,Lost Boy,Ruth B,,1
476,2016,77,Side to Side,Ariana Grande,Nicki Minaj,1
477,2016,78,"Sit Still, Look Pretty",Daya,,1
478,2016,79,Wildest Dreams,Taylor Swift,,1
479,2016,80,Middle,DJ Snake,Bipolar Sunshine,1
480,2016,81,On My Mind,Ellie Goulding,,1
481,2016,82,Pop Style,Drake,Jay-Z & Kanye West & [a],1
482,2016,83,When We Were Young,Adele,,1
483,2016,84,Hide Away,Daya,,1
484,2016,85,Lean On,Major Lazer & DJ Snake,MØ,1
485,2016,86,I Know What You Did Last Summer,Shawn Mendes & Camila Cabello,,1
486,2016,87,All the Way Up,Fat Joe & Remy Ma,French Montana,1
487,2016,88,Watch Me,Silentó,,1
488,2016,89,Back to Sleep,Chris Brown,,1
489,2016,90,No Limit,Usher,Young Thug,1
490,2016,91,Cut It,O.T. Genasis,Young Dolph,1
491,2016,92,Really Really,Kevin Gates,,1
492,2016,93,All In My Head (Flex),Fifth Harmony,Fetty Wap,1
493,2016,94,Starving,Hailee Steinfeld & Grey,Zedd,1
494,2016,95,Adventure of a Lifetime,Coldplay,,1
495,2016,96,Humble and Kind,Tim McGraw,,1
496,2016,97,Wicked,Future,,1
497,2016,98,Tiimmy Turner,Desiigner,,1
498,2016,99,See You Again,Wiz Khalifa,Charlie Puth,1
499,2016,100,Perfect,One Direction,,1
500,2017,1,Shape of You,Ed Sheeran,,1
501,2017,2,Despacito (Remix),Luis Fonsi & Daddy Yankee,Justin Bieber,1
502,2017,3,That's What I Like,Bruno Mars,,1
503,2017,4,Humble,Kendrick Lamar,,1
504,2017,5,Something Just Like This,The Chainsmokers & Coldplay,,1
505,2017,6,Bad and Boujee,Migos,Lil Uzi Vert,1
506,2017,7,Closer,The Chainsmokers,Halsey,1
507,2017,8,Body Like a Back Road,Sam Hunt,,1
508,2017,9,Believer,Imagine Dragons,,1
509,2017,10,Congratulations,Post Malone,Quavo,1
510,2017,11,Say You Won't Let Go,James Arthur,,1
511,2017,12,I'm the One,DJ Khaled,Justin Bieber & Quavo & Chance the Rapper & Lil Wayne,1
512,2017,13,XO Tour Llif3,Lil Uzi Vert,,1
513,2017,14,Mask Off,Future,,1
