spt_id,cv_fold,is_bb,p_audio
58w5J5yNWeGZ7a4cM1rO7Y,4,1,0.6744186282157898
32l3HV3vwkoVjagjLGdJll,4,0,0.3499999940395355
6PCUP3dWmTjcTtXY02oFdT,0,1,0.5254237055778503
0h6X7BCq7IYKHNoXln3LX3,2,0,0.0
6vQzDYRYwVv3YQIaeMmT7N,3,0,0.1428571492433548
34yAAS72vZUXvsQPHGZexE,0,0,0.6315789222717285
629DixmZGHc7ILtEntuiWE,4,1,0.19999998807907104
29JrmE89KgRyCxBIzq2Ocw,2,1,0.8888888955116272
1X1DWw2pcNZ8zSub3uhlNz,2,1,0.4166666567325592
6fm1wV6DlN5d7C3UC5hdOX,4,0,0.3499999940395355
4eWQlBRaTjPPUlzacqEeoQ,1,1,0.7323943376541138
66t7utfP4M3sQJX0fw81q4,4,0,0.3499999940395355
0AgeQpRVvKKHQr5RxImIA3,3,0,0.0
0WNfQxDGaPTl0yogcMR5v1,2,1,0.6571428775787354
4qwSAMwROvCd8QMCwZl7GO,4,0,0.3499999940395355
1ebc9N7CRDuLAyoPKYbAPx,1,0,0.28260868787765503
1OFgEELgwfTOt3WcBuOPxk,4,0,0.6666666865348816
6wf7Yu7cxBSPrRlWeSeK0Q,4,1,0.3076923191547394
3Vr3zh0r7ALn8VLqCiRR10,0,1,0.6315789222717285
4fouWK6XVHhzl78KzQ1UjL,0,1,0.6315789222717285
5fC5FVZx30t7ZMGdcdyigc,4,0,0.0
62PaSfnXSMyLshYJrlTuL3,2,1,0.4375
3Cmk8tpw16p5KKnvN1HTgB,2,0,0.4166666567325592
3BxsBcF3pnwOq69VZuEI5N,1,0,0.28260868787765503
4MQfntyMKsALV9J4ht9BEq,0,0,0.6315789222717285
7wHyS43lEqEMFxAjTcpARd,3,0,0.43939393758773804
0SuLAslEMFZAXf0SwY7syi,2,1,0.7777777910232544
6O33G75ykzQi3JZfQByc3t,0,0,0.5254237055778503
588MPhMBqTP1IdOYPRGmZW,0,0,0.30434781312942505
76cy1WJvNGJTj78UqeA5zr,4,1,1.0
13ZsCa2muiXhSgfz4J1LDg,3,0,0.5
4VVfzoh8MuGWLIpcF8vB1O,3,0,0.43939393758773804
72GVdRHK49beKrC1NqRCqj,3,1,0.7450980544090271
4lDOGXgNqQZqEPA9nonR6t,0,0,0.5
1o1Pny4JcE3LdUBeBedbm6,3,1,0.7450980544090271
2DbDefRFJ5YOfXCKOeCJJh,0,0,0.6530612111091614
7o1Pm9jpH0wFpN5g793Lnq,2,1,0.6571428775787354
6vIi1fDLoB0cXdUqcZ6QRi,2,0,0.1818181872367859
6i0V12jOa3mr6uu4WYhUBr,3,1,0.625
4PMqSO5qyjpvzhlLI5GnID,0,1,0.5254237055778503
1LJHaEviO17R5ayPKb0Qb6,4,0,0.3076923191547394
5cF0dROlMOK5uNZtivgu50,0,1,0.8333333134651184
19kUPdKTp85q9RZNwaXM15,4,1,0.6153846383094788
2KYRuoSR708PWRDaj2SZaa,4,0,0.2857142984867096
1gtujMFECzLtqLO7WdN1s5,4,0,0.3499999940395355
2uvkKq5fVKoI8AMUyB7Lt8,0,0,0.5254237055778503
1p80LdxRV74UKvL8gnD7ky,4,1,1.0
3Vo4wInECJQuz9BIBMOu8i,2,1,0.6571428775787354
1eUvaf8Z4P2kU6flnFIzzD,1,0,0.28260868787765503
4e6ZN0EcEqYx74BTC5xQzy,4,1,0.5277777910232544
7oGZAicScQt96OAW4AruYy,4,1,1.0
79R3qLqdbwUSYWX4cEOpbJ,0,0,0.6530612111091614
7c1Gt8oLIsVgKHnekswmw2,4,0,0.0714285746216774
05SBRd4fXgn8FX7bf8BCAE,0,1,0.6530612111091614
1eQZUmC4ZBYHvOOyl1JkN5,1,0,0.28260868787765503
0hL8yBivUahlm1rhQ1a0Xx,4,0,0.5277777910232544
21QQ5b9PP7GnWl2GI98kjD,0,0,0.0
0bILU0UiNDmA5Ff6whhb2R,4,1,0.5277777910232544
2ig2xQfH9n76wdgAipnD5i,1,0,0.8275862336158752
5QYATXoAhM9FsBv9ZdbQ4i,2,0,0.2666666805744171
2aQwdBWk4vSPWk1Csgtzdo,0,0,0.6530612111091614
6LoQHIo74tOzQ8EsLEkhgF,4,1,0.6744186282157898
25CA8QVJQrh5R05UUCaODM,2,1,0.6571428775787354
4V8UAYs096q62PGVQuudbw,1,0,0.8275862336158752
3ON6Y6KAlNjOyj4wEquCRz,4,0,0.6744186282157898
4XNrMwGx1SqP01sqkGTDmo,3,1,0.7450980544090271
32XaqPVTVkkuOiOPQZ3SpA,3,0,0.1428571492433548
5g3h8gCrJwDABVoDZl69yt,2,0,0.0
6uHcXmNcm6qU1h5yVKTY58,2,0,0.8888888955116272
1KxwZYyzWNyZSRyErj2ojT,1,1,0.5
1WbYFNSUNn9fP1x0Z5DU95,2,0,0.4375
1TwLKNsCnhi1HxbIi4bAW0,0,1,0.6530612111091614
6Uy6K3KdmUdAfelUp0SeXn,4,1,0.6744186282157898
4kZlcEXnP90soPZLc85aBK,0,0,0.30434781312942505
07KXEDMj78x68D884wgVEm,3,1,0.8333333134651184
3LlAyCYU26dvFZBDUIMb7a,3,1,0.43939393758773804
24LS4lQShWyixJ0ZrJXfJ5,0,1,0.5254237055778503
6I3mqTwhRpn34SLVafSH7G,4,1,0.5277777910232544
65cv0OI9HmwR4EmN6CWucM,2,0,0.4166666567325592
1tyfx8Ia1nTgpujgKFugss,2,0,0.0
5e1F4YZGMOWg8ROXZyJfAA,1,0,0.28260868787765503
3FBisbTYZcpmPPAjnXE7w9,1,0,0.5
75lo8VozcCLRG9WGG674iD,4,1,0.6744186282157898
4jL6WWKFDqCOPo2hC3VhSS,2,1,0.4166666567325592
1BllALFzMck8VAezqbpoKV,3,0,0.38461539149284363
0Dsga1306uOFIDpEoIUsCq,0,0,0.5254237055778503
0dIoGTQXDh1wVnhIiSyYEa,4,1,0.6744186282157898
71QRhIccCmaxuDInqIO5xq,4,0,0.0
16wAOAZ2OkqoIDN7TpChjR,4,1,0.6904761791229248
2QsgqAZ4SwuipP30znNeof,3,0,0.1428571492433548
2z1LgCApxLsaB5SNgJTGzX,4,0,0.3499999940395355
3d32X1JXSXTH32lyK20SkS,0,0,0.20000000298023224
1XRgIKC5TPwo7nWGyKqgG0,4,1,1.0
6FB3v4YcR57y4tXFcdxI1E,4,1,0.6744186282157898
3zHq9ouUJQFQRf3cm1rRLu,1,1,0.28260868787765503
3oiMJQAWVaxSubJ7b2VUtX,1,1,0.8275862336158752
6315XlIxnHKvQGA4zpusuV,1,0,0.0
7jP7iCJ1cXVXYHWIkYtP6d,1,0,0.5
0iWFz0Q5Qha9bx325ocFWq,4,0,0.6904761791229248
65y06cXpmPD1N9NLhy1Akj,4,0,0.5277777910232544
6Swa2wkTqv5AzmeptAdn4d,2,0,0.09090909361839294
0PuUfJ1DgkMCJOeubtz8AA,0,0,0.6315789222717285
35ovElsgyAtQwYPYnZJECg,0,1,0.5254237055778503
2QjOHCTQ1Jl3zawyYOpxh6,2,1,0.1818181872367859
78OdP5DHibfC0n3W9mGxY1,1,0,0.5
0TBgMKD86t1VP3IzhxCoUl,3,1,0.43939393758773804
6aSwH4whSmRnIZGwjXZS4C,4,0,0.6153846383094788
4Xx0J00u90QvnG3rwz4Itp,3,0,0.5
5Oa4jjIe7d4tGsXevIQdrK,0,0,0.6530612111091614
1DbZAffh8GGwW41Q3AU8iC,0,1,0.6315789222717285
6I6JOi3mf6q68dE7JxzYUC,0,0,0.30434781312942505
6JjPBQfI2Y8nIjnm65X6Pw,2,1,0.8888888955116272
4bsVr6YLbGDzERo8yVCJue,3,0,0.0
0PvFJmanyNQMseIFrU708S,3,1,0.7450980544090271
5MwIGPDKeDb7SpblcaQP6O,0,1,0.8333333134651184
3vuRYeE3ZV3FbwH6FwgaxJ,1,0,0.28260868787765503
7K5dzhGda2vRTaAWYI3hrb,3,1,0.7450980544090271
4W9XGjEUVG9junR70FOLii,0,0,0.8333333134651184
6n4U3TlzUGhdSFbUUhTvLP,3,1,0.8333333134651184
4l0RmWt52FxpVxMNni6i63,0,1,0.5254237055778503
7MS7rMHWqV5FY0Z7hhpZJh,1,0,0.0
2hrUO4drrO63i7FYbCLBl2,2,1,0.6499999761581421
3eQlGeyuSibgAGPEJugaDW,0,1,0.6530612111091614
6t6oULCRS6hnI7rm0h5gwl,0,1,0.6530612111091614
6c6WmIHcHlhccEwSFBhzNa,3,1,0.7450980544090271
4qikXelSRKvoCqFcHLB2H2,1,1,0.28260868787765503
7vjfnsnDXZGK4PSq54ISjc,2,0,0.6571428775787354
4xhsWYTOGcal8zt0J161CU,1,1,0.7323943376541138
