spt_id,cv_fold,is_bb,p_lyric
0E0xCeOBQRSkbABuLVOR4F,1,0,0.7002266089360281
29SvTTSIa1hdulOzztjBDw,4,0,0.6667310534800844
7dJYggqjKo71KI9sLzqCs8,0,1,0.7894492999156495
00PmVuzpGbFDLVZbPhPEUT,4,0,0.7716219955132151
58w5J5yNWeGZ7a4cM1rO7Y,4,1,0.7330726985665913
32l3HV3vwkoVjagjLGdJll,4,0,0.29158723210716225
6PCUP3dWmTjcTtXY02oFdT,0,1,0.31648299567731875
0h6X7BCq7IYKHNoXln3LX3,2,0,0.09126984126984126
6vQzDYRYwVv3YQIaeMmT7N,3,0,0.0
34yAAS72vZUXvsQPHGZexE,0,0,0.8055552076760053
629DixmZGHc7ILtEntuiWE,4,1,0.7549216391640562
29JrmE89KgRyCxBIzq2Ocw,2,1,0.9215456674473068
1X1DWw2pcNZ8zSub3uhlNz,2,1,0.39305555555555555
6fm1wV6DlN5d7C3UC5hdOX,4,0,0.3294894557773415
4eWQlBRaTjPPUlzacqEeoQ,1,1,0.7055361466419573
66t7utfP4M3sQJX0fw81q4,4,0,0.25250711665024783
0AgeQpRVvKKHQr5RxImIA3,3,0,0.14034833760141863
0WNfQxDGaPTl0yogcMR5v1,2,1,0.46490929705215417
4qwSAMwROvCd8QMCwZl7GO,4,0,0.40290924715091164
1ebc9N7CRDuLAyoPKYbAPx,1,0,0.2735814764204227
1OFgEELgwfTOt3WcBuOPxk,4,0,0.8178584549313767
6wf7Yu7cxBSPrRlWeSeK0Q,4,1,0.5551194662495534
3Vr3zh0r7ALn8VLqCiRR10,0,1,0.6149999784328855
4fouWK6XVHhzl78KzQ1UjL,0,1,0.39063131956544
5fC5FVZx30t7ZMGdcdyigc,4,0,0.30442199163480976
62PaSfnXSMyLshYJrlTuL3,2,1,0.12786596119929453
3Cmk8tpw16p5KKnvN1HTgB,2,0,0.21119929453262787
3BxsBcF3pnwOq69VZuEI5N,1,0,0.23239931229346011
4MQfntyMKsALV9J4ht9BEq,0,0,0.10147935750738989
7wHyS43lEqEMFxAjTcpARd,3,0,0.1572192513368984
0SuLAslEMFZAXf0SwY7syi,2,1,0.47319700045618895
6O33G75ykzQi3JZfQByc3t,0,0,0.5214316220557546
588MPhMBqTP1IdOYPRGmZW,0,0,0.6538937844763443
76cy1WJvNGJTj78UqeA5zr,4,1,0.46885144366613574
13ZsCa2muiXhSgfz4J1LDg,3,0,0.05416666666666667
4VVfzoh8MuGWLIpcF8vB1O,3,0,0.7183186888139944
72GVdRHK49beKrC1NqRCqj,3,1,0.6285364160539476
4lDOGXgNqQZqEPA9nonR6t,0,0,0.6881566503403542
1o1Pny4JcE3LdUBeBedbm6,3,1,0.632581509326815
2DbDefRFJ5YOfXCKOeCJJh,0,0,0.7826673068121237
7o1Pm9jpH0wFpN5g793Lnq,2,1,0.6000874125874126
6vIi1fDLoB0cXdUqcZ6QRi,2,0,0.2569444444444444
6i0V12jOa3mr6uu4WYhUBr,3,1,0.323029906022217
4PMqSO5qyjpvzhlLI5GnID,0,1,0.60223646349638
1LJHaEviO17R5ayPKb0Qb6,4,0,0.17563247298800308
5cF0dROlMOK5uNZtivgu50,0,1,0.7964366238961024
19kUPdKTp85q9RZNwaXM15,4,1,0.763640223756195
