name_lower,artist_lower,spt_id,release_year,billboard_year,is_bb
23,mike will made-it,20FZrLl9zSbO9b3DhaqO6M,2013,2014,1
beachin',jake owen,5dNGORzxFb5z3v7vSAFkTU,2013,2014,1
white walls,macklemore & ryan lewis,1o1Pny4JcE3LdUBeBedbm6,2012,2014,1
she looks so perfect,5 seconds of summer,1gugDOSMREb34Xo0c1PlxM,2014,2014,1
stay the night,zedd,2QtJA4gbwe1AcanB2p21aP,2012,2014,1
partition,beyoncé,5hgnY0mVcVetszbb85qeDg,2014,2014,1
studio,schoolboy q,29gsi1zZrZxdStACmTQB0Z,2014,2014,1
0 to 100 / the catch up,drake,4jtyUzZm9WLc2AdaJ1dso7,2013,2014,1
i don't dance,lee brice,5aj0xPGiEUN3aI2oOYu14S,2014,2014,1
somethin' bad,miranda lambert & carrie underwood,6s9m5J92By7jii22Q2XtY2,2014,2014,1
adore you,miley cyrus,5AnCLGg35ziFOloEnXK4uu,2013,2014,1
uptown funk,mark ronson,32OlwWuMpZ6b0aN2RZOeMS,2015,2015,1
thinking out loud,ed sheeran,1Slwb6dOYkBlWal1PGtnNg,2013,2015,1
see you again,wiz khalifa,2JzZzZUQj3Qff7wapcbKjc,2015,2015,1
trap queen,fetty wap,2d8JP84HNLKhmd6IYOoupQ,2015,2015,1
sugar,maroon 5,2iuZJX9X9P0GKaE93xcPjk,2014,2015,1
shut up and dance,walk the moon,4kbj5MwxO1bq9wjT5g9HaA,2014,2015,1
blank space,taylor swift,1p80LdxRV74UKvL8gnD7ky,2014,2015,1
watch me,silentó,5RIVoVdkDLEygELLCniZFr,2015,2015,1
earned it,the weeknd,4frLb7nWtsz2ymBE6k2GRP,2015,2015,1
the hills,the weeknd,7fBv7CLKzipRk6EC6TWHOB,2015,2015,1
cheerleader,omi,023OVLNzXhX0j7CxswUt6D,2015,2015,1
can't feel my face,the weeknd,22VdIZQfgXJea34mQxlt81,2015,2015,1
love me like you do,ellie goulding,3zHq9ouUJQFQRf3cm1rRLu,2015,2015,1
take me to church,hozier,1CS7Sd1u5tWkstBhpssyjP,2014,2015,1
bad blood,taylor swift,273dCMFseLcVsoSWx59IoE,2014,2015,1
lean on,major lazer & dj snake,01aTsQoKoeXofSTvKuunzv,2015,2015,1
want to want me,jason derulo,7oGZAicScQt96OAW4AruYy,2015,2015,1
where are ü now,skrillex & diplo & jack ü,66hayvUbTotekKU3H4ta1f,2015,2015,1
fight song,rachel platten,37f4ITSlgPX81ad2EvmVQr,2016,2015,1
679,fetty wap,5NQbUaeTEOGdD6hHcre0dZ,2015,2015,1
lips are movin,meghan trainor,3fNaQSMgFrYTkTshRX7J1u,2015,2015,1
worth it,fifth harmony,41Fflg7qHiVOD6dEPvsCzO,2015,2015,1
post to be,omarion,0fgZUSa7D7aVvv3GfO0A1n,2014,2015,1
"honey, i'm good.",andy grammer,4Tt6GiWS2V9sQjZjS2xjp2,2014,2015,1
i'm not the only one,sam smith,7795WJLVKJoAyVoOtCWqXN,2014,2015,1
good for you,selena gomez,578Eooad7oUyn4stovZiPg,2015,2015,1
style,taylor swift,4lIxdJw6W3Fg4vUIYCB0S5,2014,2015,1
hotline bling,drake,0wwPcA6wtMf6HUMpIRdeP7,2016,2015,1
hey mama,david guetta,5b2bu6yyATC1zMXDGScJ2d,2014,2015,1
g.d.f.r.,flo rida,26rdOwwjC2UnweK3xeS58u,2015,2015,1
what do you mean?,justin bieber,4B0JvthVoAAuygILe3n4Bs,2015,2015,1
photograph,ed sheeran,6fxVffaTuwjgEk5h9QyRjy,2013,2015,1
hello,adele,62PaSfnXSMyLshYJrlTuL3,2015,2015,1
stitches,shawn mendes,5jsw9uXEGuKyJzs0boZ1bT,2015,2015,1
talking body,tove lo,2tpfxAXiI52znho4WE3XFA,2014,2015,1
jealous,nick jonas,5NQJnRpJHRaupdegphntQT,2015,2015,1
time of our lives,pitbull & ne-yo,2bJvI42r8EF3wxjOuDav4r,2014,2015,1
locked away,r. city,7x5xYW5W42OGPAdHUyyguy,2015,2015,1
somebody,natalie la rose,7ioiB40H9xKs04QtIso2I3,2014,2015,1
