,billboard_year,rank,name,artist,featuring,target
254,2012,55,Want U Back,Cher Lloyd,,1
255,2012,56,Don't Wake Me Up,Chris Brown,,1
256,2012,57,Dance (A$$),Big Sean,Nicki Minaj,1
257,2012,58,Springsteen,Eric Church,,1
258,2012,59,Brokenhearted,Karmin,,1
259,2012,60,Not Over You,Gavin DeGraw,,1
260,2012,61,Stereo Hearts,Gym Class Heroes,Adam Levine,1
261,2012,62,Back in Time,Pitbull,,1
262,2012,63,Work Out,J. Cole,,1
263,2012,64,Rumour Has It,Adele,,1
264,2012,65,Let's Go,Calvin Harris,Ne-Yo,1
265,2012,66,Good Girl,Carrie Underwood,,1
266,2012,67,Pontoon,Little Big Town,,1
267,2012,68,Ho Hey,The Lumineers,,1
268,2012,69,Paradise,Coldplay,,1
269,2012,70,Blown Away,Carrie Underwood,,1
270,2012,71,Rolling in the Deep,Adele,,1
271,2012,72,Climax,Usher,,1
272,2012,73,"Work Hard, Play Hard",Wiz Khalifa,,1
273,2012,74,Let Me Love You (Until You Learn to Love Yourself),Ne-Yo,,1
274,2012,75,Pound the Alarm,Nicki Minaj,,1
275,2012,76,Come Over,Kenny Chesney,,1
276,2012,77,Heart Attack,Trey Songz,,1
277,2012,78,Drank in My Cup,Kirko Bangz,,1
278,2012,79,Birthday Cake,Rihanna,Chris Brown,1
279,2012,80,So Good,B.o.B,,1
280,2012,81,50 Ways to Say Goodbye,Train,,1
281,2012,82,Red Solo Cup,Toby Keith,,1
282,2012,83,Love You Like a Love Song,Selena Gomez & the Scene,,1
283,2012,84,Turn Up the Music,Chris Brown,,1
284,2012,85,Die Young,Kesha,,1
285,2012,86,5 O'Clock,T-Pain,Wiz Khalifa,1
286,2012,87,A Thousand Years,Christina Perri,,1
287,2012,88,Take a Little Ride,Jason Aldean,,1
288,2012,89,You da One,Rihanna,,1
289,2012,90,We Run the Night,Havana Brown,Pitbull,1
290,2012,91,It's Time,Imagine Dragons,,1
291,2012,92,Cashin' Out,Cash Out,,1
292,2012,93,I Don't Want This Night to End,Luke Bryan,,1
293,2012,94,Diamonds,Rihanna,,1
294,2012,95,Hard to Love,Lee Brice,,1
295,2012,96,Somethin' 'Bout a Truck,Kip Moore,,1
296,2012,97,Adorn,Miguel,,1
297,2012,98,Fly Over States,Jason Aldean,,1
298,2012,99,Even If It Breaks Your Heart,Eli Young Band,,1
299,2012,100,Burn It Down,Linkin Park,,1
300,2013,1,Thrift Shop,Macklemore & Ryan Lewis,Wanz,1
301,2013,2,Blurred Lines,Robin Thicke,T.I.,1
302,2013,3,Radioactive,Imagine Dragons,,1
303,2013,4,Harlem Shake,Baauer,,1
304,2013,5,Can't Hold Us,Macklemore & Ryan Lewis,Ray Dalton,1
305,2013,6,Mirrors,Justin Timberlake,,1
306,2013,7,Just Give Me a Reason,Pink,Nate Ruess,1
307,2013,8,When I Was Your Man,Bruno Mars,,1
308,2013,9,Cruise,Florida Georgia Line,Nelly,1
309,2013,10,Roar,Katy Perry,,1
310,2013,11,Locked Out of Heaven,Bruno Mars,,1
311,2013,12,Ho Hey,The Lumineers,,1
