kag_master_name,kag_master_artist,kag_master_genre,kag_master_daneceability,kag_master_energy,kag_master_key,kag_master_loudness,kag_master_mode,kag_master_speechiness,kag_master_acousticness,kag_master_instrumentalness,kag_master_liveness,kag_master_valence,kag_master_tempo,kag_master_pop,kag_master_spotify_id,kag_master_release_date,kag_master_year
無條件,Eason Chan,cantopop,0.646,0.37,0.0,-10.98,1.0,0.0351,0.825,5.17e-06,0.09,0.465,129.914,1,1ccNLIJMQxsTleaULYWwZD,2015-07-10,2015
QUEEN,my little airport,cantopop,0.453,0.38,7.0,-13.896,1.0,0.0422,0.699,0.0136,0.145,0.396,178.211,1,5PimlePLQd8xdf7uKccHqS,2021-08-30,2021
麥記最後一夜,my little airport,cantopop,0.544,0.389,0.0,-9.989,1.0,0.0348,0.778,0.202,0.109,0.457,144.979,1,10EJ7YEDERnYUxTdFWmrWQ,2016-09-30,2016
喫煙席,my little airport,cantopop,0.569,0.261,0.0,-13.836,1.0,0.0362,0.76,0.000749,0.136,0.232,113.186,1,3eT4GvkE7uzp9hdYxc4So2,2021-08-30,2021
因講了出來,my little airport,cantopop,0.606,0.361,9.0,-12.514,1.0,0.0299,0.597,0.000734,0.142,0.635,104.995,1,4AueyrUkD7CuzvtUbhYH8I,2021-08-30,2021
love disabled,my little airport,cantopop,0.597,0.525,0.0,-10.269,1.0,0.0448,0.525,0.000411,0.112,0.638,113.928,1,5zGDzghkldUaTGFMbxDFtk,2014-01-01,2014
宋代SAD BOY,my little airport,cantopop,0.566,0.413,7.0,-13.556,1.0,0.0568,0.733,0.0599,0.0951,0.523,129.999,1,7uo5PgFlHaRpdigxdzP0i7,2021-08-30,2021
SABINA之淚,my little airport,cantopop,0.551,0.346,5.0,-14.207,1.0,0.0329,0.601,0.0131,0.107,0.459,159.929,1,0bVAhqMaAOEqF9ZmpBXdII,2021-08-30,2021
K同學,my little airport,cantopop,0.629,0.257,8.0,-13.329,0.0,0.0442,0.861,1.26e-06,0.18,0.374,77.524,1,2QOMOEdrKdYjTJVi7aGIyG,2021-08-30,2021
西湖沒有中秋,my little airport,cantopop,0.616,0.211,9.0,-15.809,1.0,0.0287,0.759,0.0965,0.302,0.503,138.066,1,12095GlriCNhVCbJV30vKw,2018-01-01,2018
驗孕的下晝,my little airport,cantopop,0.672,0.351,7.0,-9.991,0.0,0.0368,0.744,0.0015,0.0791,0.721,85.28,1,0hUCOkpH3V28JChX2tiHY8,2016-09-30,2016
德州之戀,my little airport,cantopop,0.611,0.511,7.0,-12.077,0.0,0.0498,0.511,0.413,0.114,0.652,122.023,1,166JRCRhVhctXfAj3IRwtc,2022-10-17,2022
土瓜灣情歌,my little airport,cantopop,0.315,0.411,0.0,-9.643,1.0,0.033,0.877,0.236,0.164,0.483,144.236,1,1hnWusq6OGMuRsKvcmFLl8,2014-01-01,2014
八點零五分,my little airport,cantopop,0.449,0.439,2.0,-11.719,0.0,0.0264,0.338,0.441,0.238,0.144,150.257,1,5CoYuqXOp6ls2SzSsHCBM4,2022-10-17,2022
Hey Hey Baby,my little airport,cantopop,0.581,0.457,9.0,-13.459,1.0,0.0327,0.383,0.00333,0.0999,0.67,89.983,1,2Mh7XNWkAXgEjBXSskgUyD,2018-01-01,2018
某夜後台,my little airport,cantopop,0.525,0.504,5.0,-11.539,0.0,0.0259,0.229,0.0333,0.128,0.555,80.002,1,7nHQMSRzvcv9nxp2TmIdtV,2022-10-17,2022
不要把冬天衫放回衣櫃,my little airport,cantopop,0.39,0.629,9.0,-9.173,1.0,0.032,0.134,0.000115,0.108,0.404,177.003,1,2NmGfvtRSYdxUOeJDtf8VN,2022-10-17,2022
循環的夜,my little airport,cantopop,0.553,0.536,10.0,-10.174,1.0,0.0295,0.00199,0.419,0.0882,0.748,133.994,1,47jGYuKiZdYnRvnHTI1vYH,2022-10-17,2022
美麗新香港,my little airport,cantopop,0.475,0.831,9.0,-8.519,1.0,0.0516,0.591,4.17e-05,0.201,0.812,151.581,1,1RypDSO83ZC6h8zduoPrvB,2014-01-01,2014
憂傷的嫖客,my little airport,cantopop,0.595,0.405,9.0,-9.945,1.0,0.0298,0.315,0.0426,0.108,0.464,108.051,1,0SufgKHlxmtDSk30hdPWwz,2012-10-01,2012
如愿,Faye Wong,cantopop,0.545,0.316,6.0,-9.449,0.0,0.0314,0.614,5.85e-06,0.0896,0.0978,132.882,1,4x9retP0JqKa35zZZhNhNS,2021-10-29,2021
我不適合聚會,my little airport,cantopop,0.549,0.399,9.0,-11.795,0.0,0.0281,0.399,0.043,0.101,0.3,119.082,1,7kUMzPwkWFGI26b10nDQax,2022-10-17,2022
孤勇者 - 《英雄聯盟:雙城之戰》動畫劇集中文主題曲,Eason Chan,cantopop,0.615,0.535,8.0,-6.847,0.0,0.032,0.63,0.0,0.0907,0.293,130.025,1,6akVETVeqqPVvuBS5e0EB1,2021-12-07,2021
每次你走的時分 - Live,my little airport,cantopop,0.517,0.639,11.0,-10.189,0.0,0.0343,0.00255,0.000596,0.844,0.551,133.316,1,0Uhw1AbQlqT2VAAYqbI2IY,2022-03-28,2022
人類不宜飛行,Dear Jane,cantopop,0.445,0.783,7.0,-4.879,0.0,0.0317,0.245,0.0,0.144,0.347,135.981,1,73889xyvOm67A8KZQppfhR,2023-07-06,2023
特別的人,Khalil Fong,cantopop,0.563,0.488,11.0,-7.314,1.0,0.0349,0.332,0.0,0.187,0.262,139.987,1,0VTzUEuHYD8s7CgQ15cDPo,2014-04-11,2014
今夜雪糕,my little airport,cantopop,0.664,0.349,7.0,-13.727,0.0,0.032,0.619,0.32,0.217,0.462,120.987,1,475bkJocC02O9MQHiRfQsO,2021-08-30,2021
獨身的理由,my little airport,cantopop,0.591,0.456,11.0,-9.604,1.0,0.0449,0.738,0.1,0.373,0.518,124.012,1,6M8fTurR9tbxRnThSZA3vK,2016-09-30,2016
只收一半,my little airport,cantopop,0.604,0.31,0.0,-15.718,0.0,0.04,0.68,0.145,0.455,0.552,131.639,1,4rtBWaUKppPfnOjH1sehyt,2021-08-30,2021
你說之後會找我,my little airport,cantopop,0.558,0.275,0.0,-14.501,1.0,0.0309,0.849,0.000901,0.395,0.475,80.009,1,3Mh5cDZsYRljE11BQM7u0J,2018-01-01,2018
20GB,my little airport,cantopop,0.658,0.318,9.0,-13.652,0.0,0.0511,0.806,8.76e-05,0.105,0.518,123.834,1,7rdj6TWqy9HOLS0suvco5R,2021-08-30,2021
再殺一個人,my little airport,cantopop,0.612,0.411,9.0,-12.834,1.0,0.0694,0.331,0.00338,0.335,0.588,155.956,1,62Ltx0EJu4imX70bx6icRb,2018-01-01,2018
散步之年,my little airport,cantopop,0.636,0.305,0.0,-15.369,1.0,0.0392,0.658,0.204,0.0967,0.41,114.967,1,33jIOBC0DaJNGzyLQxD41f,2021-08-30,2021
回到中學的暑假,my little airport,cantopop,0.749,0.43,7.0,-10.571,1.0,0.0295,0.552,0.0294,0.232,0.81,116.049,1,10ynkj94jVKnQ31hABnc9Y,2012-10-01,2012
少女的祈禱,Miriam Yeung,cantopop,0.574,0.427,4.0,-7.818,1.0,0.0483,0.553,0.0,0.101,0.197,121.597,1,2rFFJqPjLbdcJFbBayR2pM,2013-07-01,2013
你叫我譯一首德國歌詞,my little airport,cantopop,0.491,0.355,9.0,-14.066,1.0,0.0331,0.404,0.0426,0.388,0.43,134.0,1,4bpyDBROAFaXmL2roHP3Mp,2018-01-01,2018
追光者 (電視劇《夏至未至》插曲),Yoyo Sham,cantopop,0.538,0.333,11.0,-9.166,1.0,0.0298,0.714,0.000766,0.146,0.275,72.063,1,0F4IKZU7I3tWXyJIlqhtqU,2017-06-19,2017
Wonderful U,AGA,cantopop,0.557,0.436,6.0,-8.569,1.0,0.0676,0.809,0.0,0.151,0.246,179.997,1,2eSNpIOFoi1Q8wxw6CycXJ,2016-03-14,2016
家明,Kay Tse,cantopop,0.282,0.493,5.0,-7.413,1.0,0.0435,0.434,0.0,0.118,0.39,206.818,1,0uodPU7TAUquwBlY6yT4Qx,2014-09-29,2014
I'm Still Loving You,Shiga Lin,cantopop,0.398,0.4,11.0,-7.666,1.0,0.0328,0.452,0.0,0.125,0.322,134.435,1,3hQMinHJdNl43xZ39GBz0N,2012-11-27,2012
燕,my little airport,cantopop,0.498,0.186,9.0,-16.167,1.0,0.046,0.883,0.0124,0.116,0.201,111.394,1,7sc9aBvl7UIM6UlefpkZIg,2021-08-30,2021
俏郎君,Hins Cheung,cantopop,0.611,0.411,11.0,-7.278,1.0,0.036,0.633,0.0,0.116,0.391,123.728,1,4ckh5VN2HYQ8TzS51Nh7ol,2021-01-07,2021
記得,Terence Lam,cantopop,0.405,0.128,5.0,-17.609,1.0,0.0332,0.942,0.000303,0.109,0.365,137.936,1,2i40AXmoYGkzzW3C3OUoG6,2022-08-12,2022
匆匆那年,Faye Wong,cantopop,0.547,0.343,10.0,-10.475,0.0,0.0301,0.954,0.00112,0.113,0.401,127.977,1,3z4leqkfSaXQPAyGwQruTe,2014-11-07,2014
明天不要賴床 Baby,my little airport,cantopop,0.676,0.515,5.0,-9.725,1.0,0.0442,0.374,3.38e-05,0.0904,0.656,122.014,1,0dX2A0GGoEv9BC5oFN7QFq,2016-09-30,2016
今天沒大麻在身,my little airport,cantopop,0.501,0.655,7.0,-8.164,1.0,0.0936,0.293,0.101,0.107,0.942,192.968,1,0gnXIwujywQuC49rsA3db2,2016-09-30,2016
彌敦道的一晚good trip,my little airport,cantopop,0.602,0.545,9.0,-13.846,1.0,0.0399,0.0814,0.0344,0.104,0.312,147.898,1,50hn4fqTszZ8ln0DdgcNDH,2018-01-01,2018
